seq_id	insertion_date	mcl_clust	ap_clust
185	115384	mcl_13	ap_clust_9805
186	938461	mcl_26	ap_clust_3148
187	392307	mcl_19	ap_clust_12280
188	1450000	mcl_3	ap_clust_11290
189	1134615	mcl_14	ap_clust_189
190	92307	mcl_2	ap_clust_7274
191	1715384	mcl_10	ap_clust_10574
192	1030769	mcl_5	ap_clust_6986
193	161538	mcl_54	ap_clust_5634
194	311538	mcl_14	ap_clust_9266
195	353846	mcl_2	ap_clust_1780
196	92307	mcl_73	ap_clust_10735
197	561538	mcl_9	ap_clust_13029
198	134615	mcl_6	ap_clust_4039
199	1919230	mcl_15	ap_clust_13067
200	534615	mcl_45	ap_clust_2893
201	350000	mcl_11	ap_clust_6694
202	0	mcl_2	ap_clust_1780
203	342307	mcl_20	ap_clust_12495
204	346153	mcl_20	ap_clust_6206
205	180769	mcl_2	ap_clust_2029
206	642307	mcl_34	ap_clust_1058
207	873076	mcl_7	ap_clust_12520
208	253846	mcl_20	ap_clust_12495
209	138461	mcl_17	ap_clust_4839
210	1546153	mcl_3	ap_clust_6794
211	61538	mcl_4	ap_clust_10201
212	1153846	mcl_8	ap_clust_4393
213	130769	mcl_6	ap_clust_10614
214	0	mcl_4	ap_clust_6582
215	3884615	mcl_5	ap_clust_12949
216	238461	mcl_4	ap_clust_407
217	2119230	mcl_7	ap_clust_6803
218	1319230	mcl_1	ap_clust_12382
219	1196153	mcl_9	ap_clust_9527
220	92307	mcl_20	ap_clust_12495
221	103846	mcl_24	ap_clust_6228
222	753846	mcl_2	ap_clust_5727
223	938461	mcl_14	ap_clust_11896
224	2161538	mcl_42	ap_clust_10275
225	207692	mcl_34	ap_clust_4629
226	1965384	mcl_1	ap_clust_13156
227	1046153	mcl_8	ap_clust_4652
228	153846	mcl_2	ap_clust_7274
229	84615	mcl_12	ap_clust_9852
230	46153	mcl_28	ap_clust_4599
231	30769	mcl_1	ap_clust_3526
232	1919230	mcl_5	ap_clust_6986
233	288461	mcl_13	ap_clust_6426
234	57692	mcl_4	ap_clust_407
235	80769	mcl_34	ap_clust_1058
236	0	mcl_1	ap_clust_13156
237	30769	mcl_2	ap_clust_7274
238	30769	mcl_1	ap_clust_6936
239	461538	mcl_21	ap_clust_9976
240	2076923	mcl_1	ap_clust_11215
241	0	mcl_1	ap_clust_3526
242	30769	mcl_1	ap_clust_3526
243	457692	mcl_21	ap_clust_9976
244	511538	mcl_21	ap_clust_9976
245	138461	mcl_5	ap_clust_6751
246	461538	mcl_65	ap_clust_246
247	773076	mcl_8	ap_clust_13250
248	0	mcl_1	ap_clust_13156
249	923076	mcl_2	ap_clust_10772
250	2734615	mcl_15	ap_clust_11478
251	130769	mcl_12	ap_clust_1513
252	1326923	mcl_2	ap_clust_5727
253	0	mcl_30	ap_clust_5725
254	30769	mcl_1	ap_clust_13156
255	265384	mcl_6	ap_clust_10614
256	376923	mcl_1	ap_clust_13156
257	1807692	mcl_3	ap_clust_6794
258	0	mcl_1	ap_clust_6936
259	1784615	mcl_7	ap_clust_12520
260	2026923	mcl_5	ap_clust_802
261	1076923	mcl_13	ap_clust_9805
262	0	mcl_1	ap_clust_6936
263	196153	mcl_5	ap_clust_4927
264	242307	mcl_23	ap_clust_5479
265	3392307	mcl_34	ap_clust_7774
266	0	mcl_23	ap_clust_5479
267	861538	mcl_1	ap_clust_3665
268	388461	mcl_28	ap_clust_4599
269	115384	mcl_13	ap_clust_6426
270	1738461	mcl_2	ap_clust_1792
271	1146153	mcl_2	ap_clust_13524
